title,company_name,company_website,vacancies,salary
Sr. Field Manager- Collection (Pan India),Kissht,https://kissht.com/,1,100000
PHP Developer,Limra Technosys Pvt Ltd,,1,58334
Operations Executive,Arzooo go store,https://arzooo.com/,1,33334
Chef Cook - Ahmedabad,Nestle India,https://www.nestle.in/,1,55000
Express Sales Trainee - DKC (Gurgaon),Chaayos,https://www.chaayos.com/,55,14000
iOS Developer,Eudemonic Technologies Private Limited,http://www.eudemonic.co.in,1,58334
Territory Sales Manager,DTDC Express,http://www.dtdc.in,2,33334
Field HR Recruiter (Hyderabad),OLX,https://www.olxpeople.com/about/,10,20000
Sales Executive/Manager,ERA Learning,,2,35000
Sr. Network Engineer,Speedo Communication,http://www.speedoo.biz/,2,30000
Java Developer,ScoreMe Solutions Private Limited,https://www.scoreme.in/,10,75000
Business Development Executive:- Banglore,Digi Prex,,20,20000
Unit Sales Manager - Health Agency (North & South ),ICICI Lombard,https://www.icicilombard.com/,7,50000
Structural Engineer – Roof top Solar,Oorjan Cleantech Pvt Ltd,,1,30000
Business Development Manager,Vyoma Exim Private Limited,http://www.vyomaexim.com,2,30000
Delivery Boy - Bengaluru,Zomato,https://runnr.in,1700,40000
Hardware assistant,Carnot Technologies Pvt Ltd,http://www.carnot.co.in,1,18000
Client Account Manager - Chennai,MyGate,https://mygate.in/,3,50000
UI Developer (Angular),Sterling and Wilson (Shapoorji Pallonji Group),http://www.sterlingandwilson.com/,1,125000
Academic Consultant - Business Development - Bangalore,Toppr,http://www.toppr.com,30,33334
Community Manager,Joynt,https://dbst.in/,4,41667
PHP Developer,Rentickle,http://www.rentickle.com,1,50000
Marketing Executive,Rapido,http://www.rapido.bike,1,18000
Sales Promoter,Bata,https://www.bata.in/,20,14000
Business Development Officer - ( Grade AM ),Equitas Small Finance Bank,https://www.equitasbank.com/,137,29167
iOS Developer,Phable Care,https://phablecare.com/,2,66667
React native developer,Finception,https://finception.in,1,125000
Java Technical Lead,Ezeiatech Systems Private Limited,http://ezeiatech.com/,1,125000
Centre Manager,ICA,,1,1
Field Sales Executive (Bangalore),AYRO RETAIL SOLUTIONS PRIVATE LIMITED,http://www.retailwhizz.com/about.html,8,1250
Trainee Territory Sales Officer,Food Service India Pvt Ltd,http://www.foodserviceindia.com/,2,16000
Business Development Manager - Hyderabad & Coimbatore,MyGate,https://mygate.in/,4,50000
Delivery Boy || Zomato || Varanasi,Zomato,https://runnr.in,40,16000
Delivery Boy - Gurgaon - Dunkin Donuts,Dunkin Donuts (Jubilant FoodWorks Limited),,30,14500
Service Associate (Hyderabad),Rentomojo,http://www.rentomojo.com,3,25000
Delivery Boy - Amritsar (PDP),Swiggy,,132,14000
Delivery Boy - Meerut- Domino's,Jubilant Foodworks,https://www.dominos.co.in,50,10000
Relationship Manager (Banca Channel) - Hamirpur,PNB MetLife Life Insurance Co Ltd,,10,29167
Store Manager,A La Mode,http://alamode.in/,1,35000
Delivery Executives - Ecom/Food - Ahmedabad (Video JD Inside),Grab a Grub Services Pvt Ltd,http://www.grab.in/,80,15000
Delivery Boy Cyclist || Agra || - (Zomato ),Zomato,https://runnr.in,50,18000
Assistant Manager - Air Import Sales & Operations,NTC Logistics India Private Limited,,1,2917
HR / Sr. HR Generalist,CONTEXiO,https://www.contexio.co.in/,1,25000
Supply Chain Manager,Merhaki Foods & Nutrition Private Limited,https://andme.in/,1,33334
Delivery Boy - Delhi - Domino's,Jubilant Foodworks,https://www.dominos.co.in,290,18000
Business Developement Executive,Bluedart,http://www.bluedart.com,2,30000
Inside Sales - Bangalore,Magicpin,https://magicpin.in,20,20000
Category Analytics Head,Rupeek Fintech Pvt. Ltd.,https://rupeek.com/,1,208334
Systems Engineer,K2B Secure Solution,http://www.k2bsecure.com/,1,3334
Delivery Boy - Mohali - Domino's,Jubilant Foodworks,https://www.dominos.co.in,100,12000
Supervisor,Pikkol,http://www.pikkol.com,4,17000
Relationship Manager - Brokering Channel,Manipal Cigna Health Insurance Compnay,https://www.cignattkinsurance.in/,1,29167
Delivery Executives (Video JD Inside)- Swiggy - Haldwani/Kathgodam,Swiggy,https://www.swiggy.com/,120,18000
